model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T11:03:23.176442+00:00

Build Times
provider,build_time_s
torchinferno,494.7
vllm,676.2
sglang,279.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.85,139.47,150.36,vllm
ttft_p99_ms,2437.07,230.81,603.77,vllm
tpot_median_ms,46.67,49.60,75.67,torchinferno
tpot_p99_ms,828.69,137.57,180.76,vllm
e2e_median_ms,198.33,178.57,226.00,vllm
e2e_p99_ms,2491.19,287.96,740.82,vllm
throughput_median_tps,5.84,7.88,5.29,vllm
total_output_tokens,1461,1454,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,249.22,210.38,220.36,vllm
ttft_p99_ms,664.81,505.25,70374.86,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.64,231.94,360.23,vllm
e2e_p99_ms,686.21,530.13,70440.41,vllm
throughput_median_tps,3.71,4.31,2.78,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.41,155.22,161.24,vllm
ttft_p99_ms,592.22,308.38,281.30,sglang
tpot_median_ms,57.78,58.51,101.51,torchinferno
tpot_p99_ms,361.22,177.35,228.89,vllm
e2e_median_ms,371.91,201.14,253.50,vllm
e2e_p99_ms,640.48,395.79,439.56,vllm
throughput_median_tps,3.59,6.95,5.28,vllm
total_output_tokens,1446,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,437.47,131.26,114.74,sglang
ttft_last_turn_ms,405.66,148.17,188.60,vllm
ttft_growth_ratio,0.93,1.13,1.64,torchinferno
ttft_first_turn_median_ms,440.69,129.55,109.81,sglang
ttft_first_turn_p99_ms,616.46,286.37,192.46,sglang
ttft_last_turn_median_ms,409.73,148.46,180.89,vllm
ttft_last_turn_p99_ms,464.73,279.14,299.84,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,208.23,63.02,78.67,vllm
ttft_p99_ms,430.85,2055.72,553.57,torchinferno
tpot_median_ms,59.11,31.55,52.51,vllm
tpot_p99_ms,103.12,1712.67,519.54,torchinferno
e2e_median_ms,257.50,85.55,138.54,vllm
e2e_p99_ms,494.88,3731.76,596.19,torchinferno
throughput_median_tps,5.41,14.12,9.96,vllm
total_output_tokens,1502,1464,1463,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.74,76.45,68.62,sglang
ttft_p99_ms,924.20,210.36,226.22,vllm
tpot_median_ms,22.91,15.04,22.11,vllm
tpot_p99_ms,58.18,19.62,26.02,vllm
e2e_median_ms,1119.76,629.65,844.11,vllm
e2e_p99_ms,2063.32,1010.30,1580.98,vllm
throughput_median_tps,32.48,57.59,42.12,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,tree_of_thought,870,248.70,55.37,304.07,2,6.58,1,,
torchinferno,tree_of_thought,871,343.52,67.93,411.46,2,4.86,1,,
torchinferno,tree_of_thought,872,114.83,0.00,149.66,1,6.68,1,,
torchinferno,tree_of_thought,873,212.11,0.00,241.20,1,4.15,1,,
torchinferno,tree_of_thought,874,171.87,0.00,208.52,1,4.80,1,,
torchinferno,tree_of_thought,875,186.72,60.57,247.29,2,8.09,1,,
torchinferno,tree_of_thought,876,204.39,0.00,235.40,1,4.25,1,,
torchinferno,tree_of_thought,877,226.55,0.00,261.80,1,3.82,1,,
torchinferno,tree_of_thought,878,251.00,55.66,306.66,2,6.52,1,,
torchinferno,tree_of_thought,879,184.80,68.19,253.00,2,7.91,1,,
torchinferno,tree_of_thought,880,198.14,0.00,225.40,1,4.44,1,,
torchinferno,tree_of_thought,881,225.24,0.00,255.63,1,3.91,1,,
torchinferno,tree_of_thought,882,191.15,0.00,222.26,1,4.50,1,,
torchinferno,tree_of_thought,883,213.93,0.00,249.79,1,4.00,1,,
torchinferno,tree_of_thought,884,240.86,0.00,261.01,1,3.83,1,,
torchinferno,tree_of_thought,885,174.71,0.00,239.91,1,4.17,1,,
torchinferno,tree_of_thought,886,206.68,84.95,291.63,2,6.86,1,,
torchinferno,tree_of_thought,887,340.93,0.00,368.31,1,2.72,1,,
torchinferno,tree_of_thought,888,307.30,58.97,366.27,2,5.46,1,,
torchinferno,tree_of_thought,889,150.23,0.00,178.96,1,5.59,1,,
torchinferno,tree_of_thought,890,176.56,0.00,207.94,1,4.81,1,,
torchinferno,tree_of_thought,891,292.29,0.00,324.77,1,3.08,1,,
torchinferno,tree_of_thought,892,158.41,59.10,217.51,2,9.19,1,,
torchinferno,tree_of_thought,893,179.03,31.87,210.89,2,9.48,1,,
torchinferno,tree_of_thought,894,231.20,0.00,255.56,1,3.91,1,,
torchinferno,tree_of_thought,895,194.53,0.00,233.55,1,4.28,1,,
torchinferno,tree_of_thought,896,303.82,51.50,355.32,2,5.63,1,,
torchinferno,tree_of_thought,897,322.52,64.93,387.44,2,5.16,1,,
torchinferno,tree_of_thought,898,104.68,28.04,132.72,2,15.07,1,,
torchinferno,tree_of_thought,899,200.10,0.00,229.41,1,4.36,1,,
torchinferno,tree_of_thought,900,226.34,60.90,287.23,2,6.96,1,,
torchinferno,tree_of_thought,901,308.66,57.06,365.72,2,5.47,1,,
torchinferno,tree_of_thought,902,330.86,64.93,395.79,2,5.05,1,,
torchinferno,tree_of_thought,903,113.46,0.00,151.98,1,6.58,1,,
torchinferno,tree_of_thought,904,182.88,0.00,216.02,1,4.63,1,,
torchinferno,tree_of_thought,905,212.43,0.00,241.15,1,4.15,1,,
torchinferno,tree_of_thought,906,174.07,57.66,231.73,2,8.63,1,,
torchinferno,tree_of_thought,907,104.29,58.57,162.86,2,12.28,1,,
torchinferno,tree_of_thought,908,251.53,0.00,277.28,1,3.61,1,,
torchinferno,tree_of_thought,909,225.36,0.00,260.33,1,3.84,1,,
torchinferno,tree_of_thought,910,200.93,61.13,262.06,2,7.63,1,,
torchinferno,tree_of_thought,911,197.10,0.00,230.43,1,4.34,1,,
torchinferno,tree_of_thought,912,201.42,59.40,260.81,2,7.67,1,,
torchinferno,tree_of_thought,913,227.14,58.23,285.37,2,7.01,1,,
torchinferno,tree_of_thought,914,219.44,40.76,300.97,3,9.97,0,,
torchinferno,tree_of_thought,915,201.18,0.00,214.76,1,4.66,1,,
torchinferno,tree_of_thought,916,191.90,0.00,250.89,1,3.99,1,,
torchinferno,tree_of_thought,917,157.20,0.00,224.88,1,4.45,1,,
torchinferno,tree_of_thought,918,222.86,77.91,300.77,2,6.65,1,,
torchinferno,tree_of_thought,919,322.73,63.39,386.12,2,5.18,1,,
torchinferno,tree_of_thought,920,185.63,0.00,215.43,1,4.64,1,,
torchinferno,tree_of_thought,921,155.30,62.99,218.28,2,9.16,1,,
torchinferno,tree_of_thought,922,134.79,54.89,189.68,2,10.54,1,,
torchinferno,tree_of_thought,923,193.73,0.00,226.61,1,4.41,1,,
torchinferno,tree_of_thought,924,202.99,33.27,236.26,2,8.47,1,,
torchinferno,tree_of_thought,925,238.10,51.05,289.15,2,6.92,1,,
torchinferno,tree_of_thought,926,202.67,54.75,257.42,2,7.77,1,,
torchinferno,tree_of_thought,927,336.90,0.00,358.89,1,2.79,1,,
torchinferno,tree_of_thought,928,301.91,0.00,335.89,1,2.98,1,,
torchinferno,tree_of_thought,929,141.42,26.79,168.20,2,11.89,1,,
torchinferno,tree_of_thought,930,236.11,0.00,261.64,1,3.82,1,,
torchinferno,tree_of_thought,931,194.57,0.00,233.04,1,4.29,1,,
torchinferno,tree_of_thought,932,333.57,0.00,362.04,1,2.76,1,,
torchinferno,tree_of_thought,933,313.18,0.00,349.39,1,2.86,1,,
torchinferno,tree_of_thought,934,150.96,0.00,184.72,1,5.41,1,,
torchinferno,tree_of_thought,935,105.73,0.00,141.38,1,7.07,1,,
torchinferno,tree_of_thought,936,143.46,0.00,176.38,1,5.67,1,,
torchinferno,tree_of_thought,937,170.85,63.58,234.44,2,8.53,1,,
torchinferno,tree_of_thought,938,237.39,0.00,263.36,1,3.80,1,,
torchinferno,tree_of_thought,939,236.17,0.00,266.19,1,3.76,1,,
torchinferno,tree_of_thought,940,228.21,60.87,289.08,2,6.92,1,,
torchinferno,tree_of_thought,941,225.87,62.88,288.76,2,6.93,1,,
torchinferno,tree_of_thought,942,192.49,0.00,229.03,1,4.37,1,,
torchinferno,tree_of_thought,943,182.51,0.00,221.88,1,4.51,1,,
torchinferno,tree_of_thought,944,191.18,55.80,246.98,2,8.10,1,,
torchinferno,tree_of_thought,945,201.29,67.34,268.63,2,7.45,1,,
torchinferno,tree_of_thought,946,393.47,0.00,409.45,1,2.44,1,,
torchinferno,tree_of_thought,947,224.80,0.00,274.49,1,3.64,1,,
torchinferno,tree_of_thought,948,165.03,0.00,227.72,1,4.39,1,,
torchinferno,tree_of_thought,949,202.89,81.71,284.60,2,7.03,1,,
torchinferno,tree_of_thought,950,327.92,60.68,388.59,2,5.15,1,,
torchinferno,tree_of_thought,951,181.32,57.13,238.45,2,8.39,1,,
torchinferno,tree_of_thought,952,125.74,57.92,183.67,2,10.89,1,,
torchinferno,tree_of_thought,953,151.99,65.20,217.19,2,9.21,1,,
torchinferno,tree_of_thought,954,181.12,0.00,216.93,1,4.61,1,,
torchinferno,tree_of_thought,955,205.23,28.07,233.31,2,8.57,1,,
torchinferno,tree_of_thought,956,207.38,0.00,243.07,1,4.11,1,,
torchinferno,tree_of_thought,957,235.95,63.23,299.18,2,6.69,1,,
torchinferno,tree_of_thought,958,310.42,0.00,336.95,1,2.97,1,,
torchinferno,tree_of_thought,959,339.90,0.00,370.51,1,2.70,1,,
torchinferno,tree_of_thought,960,138.20,17.60,173.41,3,17.30,0,,
torchinferno,tree_of_thought,961,204.09,0.00,234.36,1,4.27,1,,
torchinferno,tree_of_thought,962,237.18,56.58,293.76,2,6.81,1,,
torchinferno,tree_of_thought,963,317.75,0.00,352.36,1,2.84,1,,
torchinferno,tree_of_thought,964,341.05,0.00,380.03,1,2.63,1,,
torchinferno,tree_of_thought,965,154.28,0.00,187.23,1,5.34,1,,
torchinferno,tree_of_thought,966,110.89,0.00,142.08,1,7.04,1,,
torchinferno,tree_of_thought,967,149.12,0.00,177.81,1,5.62,1,,
torchinferno,tree_of_thought,968,202.03,67.52,269.55,2,7.42,1,,
torchinferno,tree_of_thought,969,217.49,0.00,256.15,1,3.90,1,,
torchinferno,tree_of_thought,970,245.41,55.69,301.10,2,6.64,1,,
torchinferno,tree_of_thought,971,205.46,53.83,259.29,2,7.71,1,,
torchinferno,tree_of_thought,972,309.28,0.00,347.30,1,2.88,1,,
torchinferno,tree_of_thought,973,139.59,0.00,166.97,1,5.99,1,,
torchinferno,tree_of_thought,974,138.43,55.13,193.57,2,10.33,1,,
torchinferno,tree_of_thought,975,138.02,52.69,190.71,2,10.49,1,,
torchinferno,tree_of_thought,976,135.11,61.55,196.66,2,10.17,0,,
torchinferno,tree_of_thought,977,223.39,0.00,236.88,1,4.22,1,,
torchinferno,tree_of_thought,978,191.79,0.00,243.98,1,4.10,1,,
torchinferno,tree_of_thought,979,211.98,0.00,283.86,1,3.52,1,,
torchinferno,tree_of_thought,980,157.36,82.38,239.74,2,8.34,1,,
torchinferno,tree_of_thought,981,323.79,61.26,385.05,2,5.19,1,,
torchinferno,tree_of_thought,982,196.24,0.00,222.63,1,4.49,1,,
torchinferno,tree_of_thought,983,141.98,0.00,174.37,1,5.73,1,,
torchinferno,tree_of_thought,984,164.39,63.34,227.72,2,8.78,1,,
torchinferno,tree_of_thought,985,279.27,0.00,315.65,1,3.17,1,,
torchinferno,tree_of_thought,986,201.37,29.14,230.51,2,8.68,1,,
torchinferno,tree_of_thought,987,240.68,0.00,275.65,1,3.63,1,,
torchinferno,tree_of_thought,988,205.29,0.00,242.06,1,4.13,1,,
torchinferno,tree_of_thought,989,341.36,0.00,376.38,1,2.66,1,,
torchinferno,tree_of_thought,990,307.77,0.00,347.01,1,2.88,1,,
torchinferno,tree_of_thought,991,135.76,14.61,194.19,5,25.75,0,,
torchinferno,long_output,0,122.85,165.47,1446.65,9,6.22,1,,
torchinferno,long_output,1,125.81,168.20,1471.42,9,6.12,1,,
torchinferno,long_output,2,125.25,149.60,1471.64,10,6.80,1,,
torchinferno,long_output,3,121.38,151.22,1482.35,10,6.75,1,,
torchinferno,long_output,4,125.44,170.72,1491.18,9,6.04,1,,
torchinferno,long_output,5,946.09,61.37,1498.46,10,6.67,1,,
torchinferno,long_output,6,928.54,58.18,1510.36,11,7.28,1,,
torchinferno,long_output,7,929.93,52.13,1503.36,12,7.98,1,,
torchinferno,long_output,8,923.33,48.87,1509.74,13,8.61,1,,
torchinferno,long_output,9,938.79,58.61,1524.90,11,7.21,1,,
torchinferno,long_output,10,929.87,60.13,1531.12,11,7.18,1,,
torchinferno,long_output,11,927.18,55.05,1532.72,12,7.83,1,,
torchinferno,long_output,12,907.72,47.05,1519.34,14,9.21,1,,
torchinferno,long_output,13,924.39,46.68,1531.26,14,9.14,1,,
torchinferno,long_output,14,916.90,51.94,1540.16,13,8.44,1,,
torchinferno,long_output,15,929.82,46.95,1540.22,14,9.09,1,,
torchinferno,long_output,16,911.98,44.84,1539.80,15,9.74,1,,
torchinferno,long_output,17,903.36,45.55,1541.00,15,9.73,1,,
torchinferno,long_output,18,924.20,58.28,1565.23,12,7.67,1,,
torchinferno,long_output,19,935.87,52.29,1563.34,13,8.32,1,,
torchinferno,long_output,20,920.56,44.78,1547.52,15,9.69,1,,
torchinferno,long_output,21,894.51,41.34,1555.91,17,10.93,1,,
torchinferno,long_output,22,916.88,43.17,1564.44,16,10.23,1,,
torchinferno,long_output,23,910.47,43.58,1564.23,16,10.23,1,,
torchinferno,long_output,24,905.51,38.66,1562.81,18,11.52,1,,
torchinferno,long_output,25,900.50,41.96,1571.88,17,10.82,1,,
torchinferno,long_output,26,897.77,45.40,1578.73,16,10.13,1,,
torchinferno,long_output,27,906.42,42.73,1590.09,17,10.69,1,,
torchinferno,long_output,28,889.83,38.49,1582.66,19,12.01,1,,
torchinferno,long_output,29,901.70,40.39,1588.40,18,11.33,1,,
torchinferno,long_output,30,882.54,39.21,1588.26,19,11.96,1,,
torchinferno,long_output,31,888.88,36.82,1588.52,20,12.59,1,,
torchinferno,long_output,32,874.91,36.04,1595.68,21,13.16,1,,
torchinferno,long_output,33,885.00,42.64,1609.85,18,11.18,1,,
torchinferno,long_output,34,889.22,37.92,1609.61,20,12.43,1,,
torchinferno,long_output,35,856.47,35.48,1601.53,22,13.74,1,,
torchinferno,long_output,36,875.24,36.81,1611.47,21,13.03,1,,
torchinferno,long_output,37,896.50,38.51,1628.15,20,12.28,1,,
torchinferno,long_output,38,885.47,41.44,1631.33,19,11.65,1,,
torchinferno,long_output,39,875.63,37.72,1630.11,21,12.88,1,,
torchinferno,long_output,40,864.43,34.29,1618.75,23,14.21,1,,
torchinferno,long_output,41,859.14,34.69,1622.34,23,14.18,1,,
torchinferno,long_output,42,875.92,36.06,1633.14,22,13.47,1,,
torchinferno,long_output,43,859.86,34.86,1626.88,23,14.14,1,,
torchinferno,long_output,44,872.76,36.40,1637.13,22,13.44,1,,
torchinferno,long_output,45,858.14,38.96,1754.26,24,13.68,1,,
torchinferno,long_output,46,857.92,39.37,1763.46,24,13.61,1,,
torchinferno,long_output,47,864.21,39.14,1764.47,24,13.60,1,,
torchinferno,long_output,48,862.33,37.91,1772.25,25,14.11,1,,
torchinferno,long_output,49,855.14,38.47,1778.31,25,14.06,1,,
torchinferno,long_output,50,844.25,38.95,1779.09,25,14.05,1,,
torchinferno,long_output,51,847.73,37.34,1781.29,26,14.60,1,,
torchinferno,long_output,52,847.74,37.54,1786.25,26,14.56,1,,
torchinferno,long_output,53,842.27,37.68,1784.33,26,14.57,1,,
torchinferno,long_output,54,850.32,40.64,1906.98,27,14.16,1,,
torchinferno,long_output,55,833.29,41.31,1907.36,27,14.16,1,,
torchinferno,long_output,56,841.22,41.48,1919.76,27,14.06,1,,
torchinferno,long_output,57,843.82,40.35,1933.20,28,14.48,1,,
torchinferno,long_output,58,820.05,39.64,1929.89,29,15.03,1,,
torchinferno,long_output,59,828.68,39.68,1939.80,29,14.95,1,,
torchinferno,long_output,60,829.10,39.67,1939.84,29,14.95,1,,
torchinferno,long_output,61,840.98,41.23,1954.19,28,14.33,1,,
torchinferno,long_output,62,829.94,41.61,1953.36,28,14.33,1,,
torchinferno,long_output,63,832.68,38.53,1950.09,30,15.38,1,,
torchinferno,long_output,64,372.01,22.83,1056.88,31,29.33,1,,
torchinferno,long_output,65,399.43,24.48,1109.44,30,27.04,1,,
torchinferno,long_output,66,344.97,22.97,1057.19,32,30.27,1,,
torchinferno,long_output,67,366.89,23.57,1074.13,31,28.86,1,,
torchinferno,long_output,68,364.05,23.94,1082.36,31,28.64,1,,
torchinferno,long_output,69,377.63,25.08,1105.00,30,27.15,1,,
torchinferno,long_output,70,512.93,17.62,1059.13,32,30.21,1,,
torchinferno,long_output,71,278.38,21.92,1023.81,35,34.19,1,,
torchinferno,long_output,72,292.87,22.63,1039.75,34,32.70,1,,
torchinferno,long_output,73,503.59,18.56,1079.10,32,29.65,1,,
torchinferno,long_output,74,298.68,22.98,1057.05,34,32.17,1,,
torchinferno,long_output,75,317.73,23.85,1080.92,33,30.53,1,,
torchinferno,long_output,76,309.75,24.00,1077.60,33,30.62,1,,
torchinferno,long_output,77,311.29,22.99,1069.89,34,31.78,1,,
torchinferno,long_output,78,316.34,23.85,1079.57,33,30.57,1,,
torchinferno,long_output,79,270.98,22.00,1041.11,36,34.58,1,,
torchinferno,long_output,80,451.77,17.87,1059.34,35,33.04,1,,
torchinferno,long_output,81,455.90,18.11,1071.50,35,32.66,1,,
torchinferno,long_output,82,260.15,21.98,1051.40,37,35.19,1,,
torchinferno,long_output,83,241.94,21.34,1031.52,38,36.84,1,,
torchinferno,long_output,84,269.63,22.89,1070.72,36,33.62,1,,
torchinferno,long_output,85,244.31,22.51,1054.62,37,35.08,1,,
torchinferno,long_output,86,219.72,22.10,1037.33,38,36.63,1,,
torchinferno,long_output,87,440.76,18.59,1091.34,36,32.99,1,,
torchinferno,long_output,88,235.10,21.48,1051.32,39,37.10,1,,
torchinferno,long_output,89,421.82,18.06,1072.05,37,34.51,1,,
torchinferno,long_output,90,417.87,17.56,1067.52,38,35.60,1,,
torchinferno,long_output,91,385.26,17.51,1050.49,39,37.13,1,,
torchinferno,long_output,92,207.86,22.43,1060.13,39,36.79,1,,
torchinferno,long_output,93,381.85,17.37,1059.22,40,37.76,1,,
torchinferno,long_output,94,386.61,17.65,1074.82,40,37.22,1,,
torchinferno,long_output,95,376.90,17.86,1073.60,40,37.26,1,,
torchinferno,long_output,96,367.65,17.62,1072.53,41,38.23,1,,
torchinferno,long_output,97,354.22,17.71,1062.68,41,38.58,1,,
torchinferno,long_output,98,349.25,18.09,1072.74,41,38.22,1,,
torchinferno,long_output,99,339.91,19.01,1119.31,42,37.52,1,,
torchinferno,long_output,100,335.74,19.13,1120.21,42,37.49,1,,
torchinferno,long_output,101,349.36,19.14,1134.05,42,37.04,1,,
torchinferno,long_output,102,315.66,19.42,1131.48,43,38.00,1,,
torchinferno,long_output,103,309.32,19.11,1131.19,44,38.90,1,,
torchinferno,long_output,104,331.16,19.58,1153.65,43,37.27,1,,
torchinferno,long_output,105,324.37,19.02,1142.20,44,38.52,1,,
torchinferno,long_output,106,323.50,19.64,1148.44,43,37.44,1,,
torchinferno,long_output,107,310.45,19.41,1145.23,44,38.42,1,,
torchinferno,long_output,108,182.06,23.62,1221.49,45,36.84,1,,
torchinferno,long_output,109,312.82,24.05,1371.09,45,32.82,1,,
torchinferno,long_output,110,177.38,24.37,1249.67,45,36.01,1,,
torchinferno,long_output,111,173.84,23.85,1247.18,46,36.88,1,,
torchinferno,long_output,112,384.01,21.74,1362.10,46,33.77,1,,
torchinferno,long_output,113,385.22,21.93,1372.08,46,33.53,1,,
torchinferno,long_output,114,373.31,21.72,1372.55,47,34.24,1,,
torchinferno,long_output,115,363.44,22.17,1383.44,47,33.97,1,,
torchinferno,long_output,116,373.39,22.20,1394.40,47,33.71,1,,
torchinferno,long_output,117,250.10,21.59,1264.88,48,37.95,1,,
torchinferno,long_output,118,362.13,21.92,1392.25,48,34.48,1,,
torchinferno,long_output,119,235.73,21.98,1268.72,48,37.83,1,,
torchinferno,long_output,120,200.01,21.60,1237.00,49,39.61,1,,
torchinferno,long_output,121,234.37,21.66,1273.97,49,38.46,1,,
torchinferno,long_output,122,197.91,21.40,1246.33,50,40.12,1,,
torchinferno,long_output,123,211.61,22.03,1268.90,49,38.62,1,,
torchinferno,long_output,124,181.78,21.81,1250.47,50,39.99,1,,
torchinferno,long_output,125,196.67,21.75,1262.60,50,39.60,1,,
torchinferno,long_output,126,182.06,23.65,1364.48,51,37.38,1,,
torchinferno,long_output,127,193.99,23.90,1389.17,51,36.71,1,,
torchinferno,long_output,128,207.57,27.96,431.21,9,20.87,1,,
torchinferno,long_output,129,204.30,29.03,436.51,9,20.62,1,,
torchinferno,long_output,130,283.93,16.52,432.60,10,23.12,1,,
torchinferno,long_output,131,280.32,18.22,444.32,10,22.51,1,,
torchinferno,long_output,132,264.33,14.80,427.12,12,28.10,1,,
torchinferno,long_output,133,289.82,23.40,477.00,9,18.87,1,,
torchinferno,long_output,134,276.86,18.16,458.49,11,23.99,1,,
torchinferno,long_output,135,247.42,17.15,436.07,12,27.52,1,,
torchinferno,long_output,136,272.93,18.09,453.80,11,24.24,1,,
torchinferno,long_output,137,286.05,21.58,480.30,10,20.82,1,,
torchinferno,long_output,138,269.91,19.57,465.63,11,23.62,1,,
torchinferno,long_output,139,234.97,16.93,438.13,13,29.67,1,,
torchinferno,long_output,140,242.41,20.46,467.45,12,25.67,1,,
torchinferno,long_output,141,242.14,18.88,468.64,13,27.74,1,,
torchinferno,long_output,142,101.45,18.05,336.11,14,41.65,1,,
torchinferno,long_output,143,112.22,21.62,371.65,13,34.98,1,,
torchinferno,long_output,144,278.84,25.53,1555.53,51,32.79,1,,
torchinferno,long_output,145,233.68,24.80,1523.39,53,34.79,1,,
torchinferno,long_output,146,247.43,25.35,1540.48,52,33.76,1,,
torchinferno,long_output,147,241.39,24.71,1526.24,53,34.73,1,,
torchinferno,long_output,148,267.00,25.43,1563.89,52,33.25,1,,
torchinferno,long_output,149,217.60,24.67,1525.08,54,35.41,1,,
torchinferno,long_output,150,223.22,24.82,1538.93,54,35.09,1,,
torchinferno,long_output,151,211.06,25.07,1539.71,54,35.07,1,,
torchinferno,long_output,152,213.41,24.38,1530.01,55,35.95,1,,
torchinferno,long_output,153,199.15,24.62,1528.75,55,35.98,1,,
torchinferno,long_output,154,204.46,24.87,1547.43,55,35.54,1,,
torchinferno,long_output,155,534.46,20.85,1597.66,52,32.55,1,,
torchinferno,long_output,156,252.63,25.88,1598.35,53,33.16,1,,
torchinferno,long_output,157,200.42,24.50,1547.99,56,36.18,1,,
torchinferno,long_output,158,209.75,17.95,461.11,15,32.53,1,,
torchinferno,long_output,159,241.55,20.04,502.08,14,27.88,1,,
torchinferno,long_output,160,193.24,16.89,446.61,16,35.83,1,,
torchinferno,long_output,161,191.38,17.41,452.54,16,35.36,1,,
torchinferno,long_output,162,199.00,19.37,470.21,15,31.90,1,,
torchinferno,long_output,163,270.53,20.09,531.76,14,26.33,1,,
torchinferno,long_output,164,443.06,20.06,1566.46,57,36.39,1,,
torchinferno,long_output,165,196.17,18.50,473.68,16,33.78,1,,
torchinferno,long_output,166,464.45,20.58,1596.35,56,35.08,1,,
torchinferno,long_output,167,190.02,17.25,466.00,17,36.48,1,,
torchinferno,long_output,168,465.26,20.55,1595.46,56,35.10,1,,
torchinferno,long_output,169,154.53,16.62,437.12,18,41.18,1,,
torchinferno,long_output,170,424.46,20.06,1567.81,58,36.99,1,,
torchinferno,long_output,171,221.13,20.82,512.56,15,29.27,1,,
torchinferno,long_output,172,181.03,19.05,485.81,17,34.99,1,,
torchinferno,long_output,173,407.35,19.85,1558.84,59,37.85,1,,
torchinferno,long_output,174,447.75,20.61,1602.14,57,35.58,1,,
torchinferno,long_output,175,418.37,19.80,1566.63,59,37.66,1,,
torchinferno,long_output,176,456.47,20.66,1613.70,57,35.32,1,,
torchinferno,long_output,177,430.82,19.99,1590.39,59,37.10,1,,
torchinferno,long_output,178,128.82,18.57,463.03,19,41.03,1,,
torchinferno,long_output,179,437.73,20.70,1617.80,58,35.85,1,,
torchinferno,long_output,180,428.35,20.62,1603.78,58,36.16,1,,
torchinferno,long_output,181,398.45,20.58,1612.39,60,37.21,1,,
torchinferno,long_output,182,393.45,20.57,1607.01,60,37.34,1,,
torchinferno,long_output,183,412.13,20.68,1632.18,60,36.76,1,,
torchinferno,long_output,184,386.41,20.46,1614.05,61,37.79,1,,
torchinferno,long_output,185,362.59,20.68,1603.66,61,38.04,1,,
torchinferno,long_output,186,347.53,20.45,1594.69,62,38.88,1,,
torchinferno,long_output,187,393.34,20.70,1635.20,61,37.30,1,,
torchinferno,long_output,188,365.07,20.34,1605.97,62,38.61,1,,
torchinferno,long_output,189,353.22,20.46,1601.54,62,38.71,1,,
torchinferno,long_output,190,352.30,22.20,1728.62,63,36.45,1,,
torchinferno,long_output,191,280.36,22.35,1666.16,63,37.81,1,,
torchinferno,long_output,192,265.06,22.66,1669.93,63,37.73,1,,
torchinferno,long_output,193,268.19,22.73,1699.87,64,37.65,1,,
torchinferno,long_output,194,558.08,24.52,950.34,17,17.89,1,,
torchinferno,long_output,195,543.87,24.07,953.10,18,18.89,1,,
torchinferno,long_output,196,520.62,24.25,932.88,18,19.30,1,,
torchinferno,long_output,197,618.35,20.35,1900.43,64,33.68,1,,
torchinferno,long_output,198,604.77,20.10,1891.46,65,34.36,1,,
torchinferno,long_output,199,491.92,24.38,930.81,19,20.41,1,,
torchinferno,long_output,200,609.50,20.69,1912.97,64,33.46,1,,
torchinferno,long_output,201,366.73,20.04,1669.24,66,39.54,1,,
torchinferno,long_output,202,601.02,20.43,1908.51,65,34.06,1,,
torchinferno,long_output,203,344.43,20.05,1667.66,67,40.18,1,,
torchinferno,long_output,204,368.35,20.47,1698.72,66,38.85,1,,
torchinferno,long_output,205,176.53,23.82,652.90,21,32.16,1,,
torchinferno,long_output,206,595.90,20.41,1922.35,66,34.33,1,,
torchinferno,long_output,207,189.55,23.58,661.20,21,31.76,1,,
torchinferno,long_output,208,178.50,23.87,655.83,21,32.02,1,,
torchinferno,long_output,209,203.40,25.66,690.94,20,28.95,1,,
torchinferno,long_output,210,201.57,25.74,690.64,20,28.96,1,,
torchinferno,long_output,211,592.77,21.09,1942.62,65,33.46,1,,
torchinferno,long_output,212,162.96,23.90,664.83,22,33.09,1,,
torchinferno,long_output,213,353.07,20.60,1712.79,67,39.12,1,,
torchinferno,long_output,214,131.28,21.89,634.67,24,37.82,1,,
torchinferno,long_output,215,199.71,26.55,704.10,20,28.40,1,,
torchinferno,long_output,216,394.68,19.04,737.37,19,25.77,1,,
torchinferno,long_output,217,325.30,15.59,668.30,23,34.42,1,,
torchinferno,long_output,218,332.86,15.60,676.14,23,34.02,1,,
