model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T09:03:15.511556+00:00

Build Times
provider,build_time_s
torchinferno,604.7
vllm,642.0
sglang,267.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,160.83,138.18,157.49,vllm
ttft_p99_ms,2246.94,244.26,644.06,vllm
tpot_median_ms,47.17,45.29,71.54,vllm
tpot_p99_ms,825.06,119.07,170.33,vllm
e2e_median_ms,201.91,174.89,223.86,vllm
e2e_p99_ms,2305.69,289.21,790.75,vllm
throughput_median_tps,5.65,8.17,5.41,vllm
total_output_tokens,1461,1448,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,251.72,198.96,219.34,vllm
ttft_p99_ms,620.15,444.44,70522.33,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,269.12,224.62,368.49,vllm
e2e_p99_ms,630.80,470.09,70632.99,vllm
throughput_median_tps,3.72,4.45,2.71,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.28,165.85,172.38,vllm
ttft_p99_ms,459.78,308.04,627.13,vllm
tpot_median_ms,58.11,53.79,106.75,vllm
tpot_p99_ms,112.25,219.05,561.13,torchinferno
e2e_median_ms,365.59,210.50,276.93,vllm
e2e_p99_ms,499.90,441.86,740.80,vllm
throughput_median_tps,3.87,6.43,4.77,vllm
total_output_tokens,1458,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,286.50,134.82,123.09,sglang
ttft_last_turn_ms,408.07,146.44,210.16,vllm
ttft_growth_ratio,1.42,1.09,1.71,vllm
ttft_first_turn_median_ms,259.52,144.33,116.76,sglang
ttft_first_turn_p99_ms,452.03,245.24,186.49,sglang
ttft_last_turn_median_ms,410.51,149.05,208.39,vllm
ttft_last_turn_p99_ms,471.48,240.36,302.28,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.79,62.15,86.07,vllm
ttft_p99_ms,504.17,4212.28,525.75,torchinferno
tpot_median_ms,56.98,31.34,39.86,vllm
tpot_p99_ms,89.46,130.50,142.72,torchinferno
e2e_median_ms,235.20,85.55,139.16,vllm
e2e_p99_ms,532.17,4318.90,566.77,torchinferno
throughput_median_tps,6.12,14.16,9.82,vllm
total_output_tokens,1470,1471,1482,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.86,76.75,70.41,sglang
ttft_p99_ms,1303.69,193.00,220.42,vllm
tpot_median_ms,23.24,14.81,22.31,vllm
tpot_p99_ms,65.13,18.93,26.96,vllm
e2e_median_ms,1121.29,619.63,833.42,vllm
e2e_p99_ms,2139.53,1008.87,1607.12,vllm
throughput_median_tps,32.19,58.58,41.90,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_conversation_idx,metadata_turn_idx
torchinferno,tree_of_thought,974,185.79,59.19,244.98,2,8.16,1,,
torchinferno,tree_of_thought,975,161.03,60.81,221.84,2,9.02,1,,
torchinferno,tree_of_thought,976,182.04,55.83,237.87,2,8.41,0,,
torchinferno,tree_of_thought,977,162.78,0.00,175.54,1,5.70,1,,
torchinferno,tree_of_thought,978,207.91,0.00,262.48,1,3.81,1,,
torchinferno,tree_of_thought,979,180.75,0.00,244.61,1,4.09,1,,
torchinferno,tree_of_thought,980,350.96,57.38,408.34,2,4.90,1,,
torchinferno,tree_of_thought,981,322.32,53.82,376.14,2,5.32,1,,
torchinferno,tree_of_thought,982,58.86,0.00,84.83,1,11.79,1,,
torchinferno,tree_of_thought,983,131.01,0.00,159.84,1,6.26,1,,
torchinferno,tree_of_thought,984,150.21,64.15,214.35,2,9.33,1,,
torchinferno,tree_of_thought,985,262.29,0.00,291.74,1,3.43,1,,
torchinferno,tree_of_thought,986,149.82,29.83,179.65,2,11.13,1,,
torchinferno,tree_of_thought,987,227.77,0.00,262.73,1,3.81,1,,
torchinferno,tree_of_thought,988,109.96,0.00,145.99,1,6.85,1,,
torchinferno,tree_of_thought,989,251.43,0.00,276.81,1,3.61,1,,
torchinferno,tree_of_thought,990,220.54,0.00,258.07,1,3.87,1,,
torchinferno,tree_of_thought,991,135.47,14.78,194.59,5,25.69,0,,
torchinferno,long_output,0,92.80,174.65,1490.01,9,6.04,1,,
torchinferno,long_output,1,97.16,174.74,1495.11,9,6.02,1,,
torchinferno,long_output,2,95.00,156.67,1505.04,10,6.64,1,,
torchinferno,long_output,3,94.99,179.16,1528.25,9,5.89,1,,
torchinferno,long_output,4,897.37,71.33,1539.35,10,6.50,1,,
torchinferno,long_output,5,889.56,65.13,1540.81,11,7.14,1,,
torchinferno,long_output,6,886.20,65.98,1545.96,11,7.12,1,,
torchinferno,long_output,7,901.66,73.75,1565.39,10,6.39,1,,
torchinferno,long_output,8,876.53,62.32,1562.01,12,7.68,1,,
torchinferno,long_output,9,870.12,58.57,1572.92,13,8.26,1,,
torchinferno,long_output,10,870.88,53.85,1570.89,14,8.91,1,,
torchinferno,long_output,11,883.68,64.18,1589.61,12,7.55,1,,
torchinferno,long_output,12,891.01,71.04,1601.38,11,6.87,1,,
torchinferno,long_output,13,889.82,59.00,1597.79,13,8.14,1,,
torchinferno,long_output,14,871.28,50.94,1584.38,15,9.47,1,,
torchinferno,long_output,15,854.13,48.27,1578.17,16,10.14,1,,
torchinferno,long_output,16,870.56,55.30,1589.47,14,8.81,1,,
torchinferno,long_output,17,872.15,60.67,1600.15,13,8.12,1,,
torchinferno,long_output,18,857.47,48.94,1591.54,16,10.05,1,,
torchinferno,long_output,19,883.01,66.94,1619.40,12,7.41,1,,
torchinferno,long_output,20,871.59,56.53,1606.43,14,8.71,1,,
torchinferno,long_output,21,856.06,45.76,1588.16,17,10.70,1,,
torchinferno,long_output,22,855.53,50.67,1615.54,16,9.90,1,,
torchinferno,long_output,23,854.27,47.26,1610.48,17,10.56,1,,
torchinferno,long_output,24,862.84,54.44,1625.01,15,9.23,1,,
torchinferno,long_output,25,849.84,44.78,1611.16,18,11.17,1,,
torchinferno,long_output,26,845.37,45.07,1611.49,18,11.17,1,,
torchinferno,long_output,27,859.78,47.89,1626.00,17,10.46,1,,
torchinferno,long_output,28,868.78,55.17,1641.21,15,9.14,1,,
torchinferno,long_output,29,844.54,45.98,1626.21,18,11.07,1,,
torchinferno,long_output,30,835.41,44.15,1630.07,19,11.66,1,,
torchinferno,long_output,31,844.82,43.95,1635.87,19,11.61,1,,
torchinferno,long_output,32,829.73,42.05,1628.70,20,12.28,1,,
torchinferno,long_output,33,849.79,43.76,1637.38,19,11.60,1,,
torchinferno,long_output,34,829.85,42.52,1637.71,20,12.21,1,,
torchinferno,long_output,35,836.03,40.13,1638.63,21,12.82,1,,
torchinferno,long_output,36,827.60,40.48,1637.21,21,12.83,1,,
torchinferno,long_output,37,842.23,42.69,1653.37,20,12.10,1,,
torchinferno,long_output,38,829.88,38.93,1647.41,22,13.35,1,,
torchinferno,long_output,39,820.07,39.82,1656.23,22,13.28,1,,
torchinferno,long_output,40,829.88,41.90,1667.82,21,12.59,1,,
torchinferno,long_output,41,815.06,38.11,1653.40,23,13.91,1,,
torchinferno,long_output,42,821.60,37.95,1656.52,23,13.88,1,,
torchinferno,long_output,43,829.21,39.78,1664.64,22,13.22,1,,
torchinferno,long_output,44,823.06,38.26,1664.69,23,13.82,1,,
torchinferno,long_output,45,818.50,42.03,1785.26,24,13.44,1,,
torchinferno,long_output,46,812.38,42.80,1796.83,24,13.36,1,,
torchinferno,long_output,47,795.87,41.80,1798.96,25,13.90,1,,
torchinferno,long_output,48,809.44,41.59,1807.50,25,13.83,1,,
torchinferno,long_output,49,799.21,42.09,1809.39,25,13.82,1,,
torchinferno,long_output,50,1336.35,27.61,1971.42,24,12.17,1,,
torchinferno,long_output,51,1328.45,26.49,1990.68,26,13.06,1,,
torchinferno,long_output,52,1330.86,26.76,1999.83,26,13.00,1,,
torchinferno,long_output,53,1319.81,26.07,1997.66,27,13.52,1,,
torchinferno,long_output,54,1316.92,26.42,2003.83,27,13.47,1,,
torchinferno,long_output,55,1320.51,26.44,2008.00,27,13.45,1,,
torchinferno,long_output,56,1318.75,28.03,2019.46,26,12.87,1,,
torchinferno,long_output,57,1304.30,26.33,2015.26,28,13.89,1,,
torchinferno,long_output,58,1297.68,25.46,2010.70,29,14.42,1,,
torchinferno,long_output,59,1303.69,26.56,2020.82,28,13.86,1,,
torchinferno,long_output,60,1315.23,26.46,2029.63,28,13.80,1,,
torchinferno,long_output,61,1301.38,26.19,2034.65,29,14.25,1,,
torchinferno,long_output,62,1294.05,26.54,2037.06,29,14.24,1,,
torchinferno,long_output,63,1298.67,25.73,2044.96,30,14.67,1,,
torchinferno,long_output,64,382.43,23.27,1057.28,30,28.37,1,,
torchinferno,long_output,65,367.22,23.28,1065.61,31,29.09,1,,
torchinferno,long_output,66,327.64,22.42,1022.80,32,31.29,1,,
torchinferno,long_output,67,321.57,22.29,1012.65,32,31.60,1,,
torchinferno,long_output,68,394.68,24.22,1096.95,30,27.35,1,,
torchinferno,long_output,69,331.60,23.91,1048.81,31,29.56,1,,
torchinferno,long_output,70,331.17,23.19,1050.21,32,30.47,1,,
torchinferno,long_output,71,283.95,22.51,1004.13,33,32.86,1,,
torchinferno,long_output,72,283.27,22.88,1015.53,33,32.50,1,,
torchinferno,long_output,73,265.44,22.43,1005.49,34,33.81,1,,
torchinferno,long_output,74,347.40,24.84,1092.73,31,28.37,1,,
torchinferno,long_output,75,265.61,21.72,1004.09,35,34.86,1,,
torchinferno,long_output,76,262.02,22.86,1016.29,34,33.46,1,,
torchinferno,long_output,77,273.76,23.05,1034.47,34,32.87,1,,
torchinferno,long_output,78,253.04,21.57,1008.14,36,35.71,1,,
torchinferno,long_output,79,267.28,22.28,1024.81,35,34.15,1,,
torchinferno,long_output,80,241.28,22.44,1026.82,36,35.06,1,,
torchinferno,long_output,81,255.38,22.35,1037.58,36,34.70,1,,
torchinferno,long_output,82,471.52,19.55,1097.19,33,30.08,1,,
torchinferno,long_output,83,237.13,22.42,1044.28,37,35.43,1,,
torchinferno,long_output,84,234.06,22.80,1054.72,37,35.08,1,,
torchinferno,long_output,85,204.94,22.35,1032.07,38,36.82,1,,
torchinferno,long_output,86,425.82,19.41,1085.79,35,32.23,1,,
torchinferno,long_output,87,395.81,18.51,1062.11,37,34.84,1,,
torchinferno,long_output,88,389.39,18.09,1058.56,38,35.90,1,,
torchinferno,long_output,89,388.70,17.67,1060.22,39,36.78,1,,
torchinferno,long_output,90,401.40,18.19,1074.49,38,35.37,1,,
torchinferno,long_output,91,372.66,18.47,1074.38,39,36.30,1,,
torchinferno,long_output,92,375.41,18.40,1074.66,39,36.29,1,,
torchinferno,long_output,93,368.10,17.95,1067.99,40,37.45,1,,
torchinferno,long_output,94,380.43,17.97,1081.29,40,36.99,1,,
torchinferno,long_output,95,368.19,18.17,1076.92,40,37.14,1,,
torchinferno,long_output,96,357.37,18.11,1081.69,41,37.90,1,,
torchinferno,long_output,97,361.11,18.10,1085.07,41,37.79,1,,
torchinferno,long_output,98,342.18,18.52,1083.09,41,37.85,1,,
torchinferno,long_output,99,338.36,22.99,1280.96,42,32.79,1,,
torchinferno,long_output,100,350.30,22.89,1288.66,42,32.59,1,,
torchinferno,long_output,101,333.14,23.21,1284.55,42,32.70,1,,
torchinferno,long_output,102,310.75,23.17,1284.09,43,33.49,1,,
torchinferno,long_output,103,310.35,22.84,1292.61,44,34.04,1,,
torchinferno,long_output,104,321.57,23.53,1309.98,43,32.82,1,,
torchinferno,long_output,105,320.74,22.75,1298.90,44,33.87,1,,
torchinferno,long_output,106,314.88,23.54,1303.69,43,32.98,1,,
torchinferno,long_output,107,311.68,23.00,1300.53,44,33.83,1,,
torchinferno,long_output,108,180.74,27.12,1374.23,45,32.75,1,,
torchinferno,long_output,109,159.22,27.86,1384.98,45,32.49,1,,
torchinferno,long_output,110,299.55,27.90,1527.06,45,29.47,1,,
torchinferno,long_output,111,414.57,25.20,1548.77,46,29.70,1,,
torchinferno,long_output,112,404.17,25.61,1556.49,46,29.55,1,,
torchinferno,long_output,113,416.50,25.54,1565.68,46,29.38,1,,
torchinferno,long_output,114,233.67,25.01,1384.04,47,33.96,1,,
torchinferno,long_output,115,265.94,25.06,1418.67,47,33.13,1,,
torchinferno,long_output,116,223.72,25.12,1379.20,47,34.08,1,,
torchinferno,long_output,117,206.03,25.44,1401.95,48,34.24,1,,
torchinferno,long_output,118,176.37,25.04,1378.37,49,35.55,1,,
torchinferno,long_output,119,200.02,25.52,1399.42,48,34.30,1,,
torchinferno,long_output,120,195.01,24.95,1392.51,49,35.19,1,,
torchinferno,long_output,121,164.59,24.63,1371.50,50,36.46,1,,
torchinferno,long_output,122,171.93,24.83,1388.79,50,36.00,1,,
torchinferno,long_output,123,205.74,26.18,1436.22,48,33.42,1,,
torchinferno,long_output,124,156.09,24.71,1391.57,51,36.65,1,,
torchinferno,long_output,125,231.45,17.20,369.07,9,24.39,1,,
torchinferno,long_output,126,239.41,17.87,382.34,9,23.54,1,,
torchinferno,long_output,127,235.06,18.79,385.35,9,23.36,1,,
torchinferno,long_output,128,198.45,16.40,362.48,11,30.35,1,,
torchinferno,long_output,129,567.53,18.45,733.60,10,13.63,1,,
torchinferno,long_output,130,877.87,25.20,2087.67,49,23.47,1,,
torchinferno,long_output,131,546.48,18.39,712.01,10,14.04,1,,
torchinferno,long_output,132,856.79,25.15,2088.97,50,23.94,1,,
torchinferno,long_output,133,542.66,17.55,718.12,11,15.32,1,,
torchinferno,long_output,134,577.06,19.92,756.38,10,13.22,1,,
torchinferno,long_output,135,533.06,19.92,732.31,11,15.02,1,,
torchinferno,long_output,136,423.44,24.49,1672.58,52,31.09,1,,
torchinferno,long_output,137,500.80,17.52,711.05,13,18.28,1,,
torchinferno,long_output,138,419.72,24.84,1686.34,52,30.84,1,,
torchinferno,long_output,139,207.12,16.18,417.53,14,33.53,1,,
torchinferno,long_output,140,407.80,24.51,1682.26,53,31.51,1,,
torchinferno,long_output,141,501.50,20.30,724.81,12,16.56,1,,
torchinferno,long_output,142,530.47,20.07,751.27,12,15.97,1,,
torchinferno,long_output,143,217.12,18.72,441.80,13,29.43,1,,
torchinferno,long_output,144,428.47,25.27,1717.47,52,30.28,1,,
torchinferno,long_output,145,402.64,24.92,1698.44,53,31.21,1,,
torchinferno,long_output,146,405.98,24.74,1692.29,53,31.32,1,,
torchinferno,long_output,147,824.05,26.04,2126.10,51,23.99,1,,
torchinferno,long_output,148,528.28,22.64,777.35,12,15.44,1,,
torchinferno,long_output,149,362.91,23.83,1673.61,56,33.46,1,,
torchinferno,long_output,150,214.70,21.23,469.48,13,27.69,1,,
torchinferno,long_output,151,387.66,24.95,1710.03,54,31.58,1,,
torchinferno,long_output,152,388.95,25.12,1720.24,54,31.39,1,,
torchinferno,long_output,153,377.26,25.15,1710.05,54,31.58,1,,
torchinferno,long_output,154,357.37,24.31,1694.16,56,33.05,1,,
torchinferno,long_output,155,346.84,24.54,1696.46,56,33.01,1,,
torchinferno,long_output,156,449.62,27.01,1799.92,51,28.33,1,,
torchinferno,long_output,157,652.34,20.00,1732.25,55,31.75,1,,
torchinferno,long_output,158,299.84,23.25,1648.38,59,35.79,1,,
torchinferno,long_output,159,347.42,24.11,1697.32,57,33.58,1,,
torchinferno,long_output,160,307.73,24.05,1678.41,58,34.56,1,,
torchinferno,long_output,161,621.84,20.58,1733.27,55,31.73,1,,
torchinferno,long_output,162,335.23,24.45,1704.68,57,33.44,1,,
torchinferno,long_output,163,583.22,20.02,1704.51,57,33.44,1,,
torchinferno,long_output,164,572.47,19.67,1693.87,58,34.24,1,,
torchinferno,long_output,165,639.46,20.82,1763.54,55,31.19,1,,
torchinferno,long_output,166,552.99,19.41,1679.01,59,35.14,1,,
torchinferno,long_output,167,567.95,19.96,1705.89,58,34.00,1,,
torchinferno,long_output,168,545.70,19.77,1692.14,59,34.87,1,,
torchinferno,long_output,169,518.36,20.44,1724.49,60,34.79,1,,
torchinferno,long_output,170,538.36,20.42,1743.26,60,34.42,1,,
torchinferno,long_output,171,509.85,20.66,1728.55,60,34.71,1,,
torchinferno,long_output,172,500.61,20.56,1734.51,61,35.17,1,,
torchinferno,long_output,173,508.65,20.33,1728.74,61,35.29,1,,
torchinferno,long_output,174,482.69,20.45,1729.92,62,35.84,1,,
torchinferno,long_output,175,486.83,20.24,1721.41,62,36.02,1,,
torchinferno,long_output,176,479.07,20.43,1725.59,62,35.93,1,,
torchinferno,long_output,177,500.97,20.75,1745.87,61,34.94,1,,
torchinferno,long_output,178,475.08,22.10,1845.15,63,34.14,1,,
torchinferno,long_output,179,267.22,22.27,1648.06,63,38.23,1,,
torchinferno,long_output,180,272.64,22.20,1649.31,63,38.20,1,,
torchinferno,long_output,181,250.56,22.45,1664.70,64,38.45,1,,
torchinferno,long_output,182,601.64,25.45,932.43,14,15.01,1,,
torchinferno,long_output,183,259.14,26.33,601.43,14,23.28,1,,
torchinferno,long_output,184,243.67,25.62,602.33,15,24.90,1,,
torchinferno,long_output,185,243.21,26.27,611.03,15,24.55,1,,
torchinferno,long_output,186,234.49,24.51,602.12,16,26.57,1,,
torchinferno,long_output,187,238.44,26.86,614.50,15,24.41,1,,
torchinferno,long_output,188,214.62,23.88,596.72,17,28.49,1,,
torchinferno,long_output,189,208.49,24.58,601.71,17,28.25,1,,
torchinferno,long_output,190,231.84,26.80,633.90,16,25.24,1,,
torchinferno,long_output,191,197.46,23.81,602.18,18,29.89,1,,
torchinferno,long_output,192,201.79,24.39,616.35,18,29.20,1,,
torchinferno,long_output,193,178.12,23.21,595.84,19,31.89,1,,
torchinferno,long_output,194,190.01,22.75,599.55,19,31.69,1,,
torchinferno,long_output,195,187.78,23.66,613.64,19,30.96,1,,
torchinferno,long_output,196,175.66,22.52,603.57,20,33.14,1,,
torchinferno,long_output,197,194.83,25.77,632.97,18,28.44,1,,
torchinferno,long_output,198,396.38,16.21,655.82,17,25.92,1,,
torchinferno,long_output,199,385.82,18.67,665.89,16,24.03,1,,
torchinferno,long_output,200,344.11,19.61,716.68,20,27.91,1,,
torchinferno,long_output,201,344.50,20.74,738.56,20,27.08,1,,
torchinferno,long_output,202,322.35,23.31,788.63,21,26.63,1,,
torchinferno,long_output,203,320.45,23.67,793.75,21,26.46,1,,
torchinferno,long_output,204,343.56,23.19,807.31,21,26.01,1,,
torchinferno,long_output,205,682.23,22.68,2110.85,64,30.32,1,,
torchinferno,long_output,206,308.46,23.87,809.70,22,27.17,1,,
torchinferno,long_output,207,287.09,23.14,796.11,23,28.89,1,,
torchinferno,long_output,208,665.98,22.53,2108.05,65,30.83,1,,
torchinferno,long_output,209,318.62,23.75,817.42,22,26.91,1,,
torchinferno,long_output,210,664.57,22.53,2106.56,65,30.86,1,,
torchinferno,long_output,211,316.25,24.76,836.14,22,26.31,1,,
torchinferno,long_output,212,428.67,22.51,1892.07,66,34.88,1,,
torchinferno,long_output,213,283.50,21.70,804.28,25,31.08,1,,
torchinferno,long_output,214,316.55,23.79,840.01,23,27.38,1,,
torchinferno,long_output,215,657.00,23.04,2131.86,65,30.49,1,,
torchinferno,long_output,216,672.33,23.36,2144.02,64,29.85,1,,
torchinferno,long_output,217,277.21,23.82,825.06,24,29.09,1,,
torchinferno,long_output,218,659.64,22.77,2139.53,66,30.85,1,,
torchinferno,long_output,219,290.63,23.71,835.89,24,28.71,1,,
torchinferno,long_output,220,301.32,24.56,841.56,23,27.33,1,,
torchinferno,long_output,221,455.97,22.81,1938.87,66,34.04,1,,
torchinferno,long_output,222,267.68,21.98,817.15,26,31.82,1,,
torchinferno,long_output,223,275.24,24.83,846.39,24,28.36,1,,
torchinferno,long_output,224,244.79,21.73,809.78,27,33.34,1,,
torchinferno,long_output,225,274.57,23.60,840.87,25,29.73,1,,
torchinferno,long_output,226,427.59,22.86,1936.11,67,34.61,1,,
torchinferno,long_output,227,248.82,23.05,825.12,26,31.51,1,,
torchinferno,long_output,228,252.00,23.05,828.32,26,31.39,1,,
torchinferno,long_output,229,177.15,22.44,783.15,28,35.75,1,,
torchinferno,long_output,230,247.23,22.91,842.86,27,32.03,1,,
torchinferno,long_output,231,272.09,25.42,882.12,25,28.34,1,,
torchinferno,long_output,232,178.72,23.15,803.68,28,34.84,1,,
torchinferno,long_output,233,244.73,24.08,870.86,27,31.00,1,,
torchinferno,long_output,234,158.00,24.07,807.87,28,34.66,1,,
torchinferno,long_output,235,598.38,23.96,2180.02,67,30.73,1,,
torchinferno,long_output,236,493.99,25.77,1215.61,29,23.86,1,,
torchinferno,long_output,237,485.21,25.13,1213.89,30,24.71,1,,
torchinferno,long_output,238,474.27,25.44,1212.11,30,24.75,1,,
torchinferno,long_output,239,492.13,26.60,1236.84,29,23.45,1,,
torchinferno,long_output,240,484.96,25.68,1229.63,30,24.40,1,,
torchinferno,long_output,241,352.94,25.20,1108.80,31,27.96,1,,
torchinferno,long_output,242,332.25,25.54,1098.36,31,28.22,1,,
torchinferno,long_output,243,180.28,24.63,943.72,32,33.91,1,,
torchinferno,long_output,244,485.92,27.55,1257.28,29,23.07,1,,
torchinferno,long_output,245,349.62,26.16,1134.38,31,27.33,1,,
torchinferno,long_output,246,312.19,25.79,1111.64,32,28.79,1,,
torchinferno,long_output,247,169.21,24.89,965.59,33,34.18,1,,
torchinferno,long_output,248,270.75,21.78,967.60,33,34.11,1,,
torchinferno,long_output,249,280.79,21.89,981.15,33,33.63,1,,
torchinferno,long_output,250,301.01,23.12,1017.62,32,31.45,1,,
torchinferno,long_output,251,250.62,21.23,972.41,35,35.99,1,,
torchinferno,long_output,252,260.59,21.77,979.16,34,34.72,1,,
torchinferno,long_output,253,239.53,21.33,964.72,35,36.28,1,,
torchinferno,long_output,254,262.54,22.14,993.28,34,34.23,1,,
torchinferno,long_output,255,234.42,21.28,979.39,36,36.76,1,,
torchinferno,long_output,256,212.43,21.75,973.62,36,36.98,1,,
torchinferno,long_output,257,232.88,21.38,981.25,36,36.69,1,,
torchinferno,long_output,258,214.08,21.25,978.90,37,37.80,1,,
torchinferno,long_output,259,237.24,22.54,1003.65,35,34.87,1,,
torchinferno,long_output,260,207.38,21.33,975.15,37,37.94,1,,
torchinferno,long_output,261,271.93,23.25,1039.02,34,32.72,1,,
torchinferno,long_output,262,208.23,22.10,1003.84,37,36.86,1,,
torchinferno,long_output,263,190.05,21.83,997.65,38,38.09,1,,
torchinferno,long_output,264,341.57,22.76,1183.56,38,32.11,1,,
torchinferno,long_output,265,323.22,22.92,1171.43,38,32.44,1,,
torchinferno,long_output,266,254.17,22.40,1105.44,39,35.28,1,,
torchinferno,long_output,267,252.63,22.71,1115.60,39,34.96,1,,
torchinferno,long_output,268,218.96,22.20,1084.94,40,36.87,1,,
torchinferno,long_output,269,226.93,22.51,1104.67,40,36.21,1,,
torchinferno,long_output,270,228.92,22.59,1109.75,40,36.04,1,,
torchinferno,long_output,271,242.65,23.50,1135.77,39,34.34,1,,
torchinferno,long_output,272,197.10,21.91,1095.38,42,38.34,1,,
torchinferno,long_output,273,396.12,18.48,1135.17,41,36.12,1,,
torchinferno,long_output,274,174.79,21.51,1099.62,44,40.01,1,,
torchinferno,long_output,275,195.03,22.70,1125.64,42,37.31,1,,
torchinferno,long_output,276,211.60,23.42,1148.40,41,35.70,1,,
torchinferno,long_output,277,181.56,22.34,1119.75,43,38.40,1,,
torchinferno,long_output,278,388.77,19.02,1149.76,41,35.66,1,,
torchinferno,long_output,279,371.76,21.60,1257.17,42,33.41,1,,
torchinferno,long_output,280,374.20,21.38,1272.26,43,33.80,1,,
torchinferno,long_output,281,345.78,21.30,1261.62,44,34.88,1,,
torchinferno,long_output,282,365.49,21.74,1278.59,43,33.63,1,,
torchinferno,long_output,283,365.05,21.42,1286.01,44,34.21,1,,
torchinferno,long_output,284,336.67,23.72,1380.42,45,32.60,1,,
torchinferno,long_output,285,344.38,23.91,1396.41,45,32.23,1,,
torchinferno,long_output,286,357.74,23.94,1411.16,45,31.89,1,,
torchinferno,long_output,287,342.05,23.54,1401.46,46,32.82,1,,
torchinferno,long_output,288,331.62,23.23,1400.37,47,33.56,1,,
torchinferno,long_output,289,340.56,23.88,1415.10,46,32.51,1,,
torchinferno,long_output,290,333.73,23.62,1420.20,47,33.09,1,,
torchinferno,long_output,291,300.29,23.24,1392.47,48,34.47,1,,
torchinferno,long_output,292,335.45,24.50,1437.88,46,31.99,1,,
torchinferno,long_output,293,285.06,23.63,1395.46,48,34.40,1,,
torchinferno,long_output,294,333.58,24.07,1440.86,47,32.62,1,,
torchinferno,long_output,295,257.12,23.37,1378.89,49,35.54,1,,
torchinferno,long_output,296,289.04,24.29,1430.53,48,33.55,1,,
torchinferno,long_output,297,253.71,23.75,1393.86,49,35.15,1,,
torchinferno,long_output,298,256.29,24.10,1412.92,49,34.68,1,,
torchinferno,long_output,299,360.10,18.65,509.31,9,17.67,1,,
torchinferno,long_output,300,370.62,19.25,524.63,9,17.15,1,,
torchinferno,long_output,301,356.50,16.95,509.05,10,19.64,1,,
torchinferno,long_output,302,366.31,18.02,528.46,10,18.92,1,,
torchinferno,long_output,303,357.19,18.47,523.41,10,19.11,1,,
torchinferno,long_output,304,327.80,17.45,502.35,11,21.90,1,,
torchinferno,long_output,305,328.29,17.02,515.47,12,23.28,1,,
torchinferno,long_output,306,337.71,19.78,535.55,11,20.54,1,,
torchinferno,long_output,307,380.86,25.43,584.30,9,15.40,1,,
torchinferno,long_output,308,350.55,20.51,555.64,11,19.80,1,,
torchinferno,long_output,309,317.31,21.29,551.54,12,21.76,1,,
torchinferno,long_output,310,362.11,25.19,1596.22,50,31.32,1,,
torchinferno,long_output,311,443.37,25.37,1686.59,50,29.65,1,,
torchinferno,long_output,312,379.90,25.42,1625.67,50,30.76,1,,
torchinferno,long_output,313,317.52,24.77,1580.59,52,32.90,1,,
torchinferno,long_output,314,362.33,25.16,1620.45,51,31.47,1,,
torchinferno,long_output,315,341.02,24.79,1605.30,52,32.39,1,,
torchinferno,long_output,316,351.51,25.40,1621.71,51,31.45,1,,
torchinferno,long_output,317,351.42,25.35,1618.79,51,31.50,1,,
torchinferno,long_output,318,286.78,24.84,1578.34,53,33.58,1,,
torchinferno,long_output,319,311.25,24.91,1606.59,53,32.99,1,,
torchinferno,long_output,320,304.20,24.82,1595.07,53,33.23,1,,
torchinferno,long_output,321,328.42,25.46,1627.08,52,31.96,1,,
torchinferno,long_output,322,281.78,26.71,1697.47,54,31.81,1,,
torchinferno,long_output,323,251.10,26.70,1666.20,54,32.41,1,,
torchinferno,long_output,324,281.66,26.65,1694.06,54,31.88,1,,
torchinferno,long_output,325,254.76,26.53,1687.50,55,32.59,1,,
torchinferno,long_output,326,233.71,26.07,1667.77,56,33.58,1,,
torchinferno,long_output,327,234.79,26.81,1682.56,55,32.69,1,,
torchinferno,long_output,328,218.36,26.66,1684.61,56,33.24,1,,
torchinferno,long_output,329,342.67,23.26,598.55,12,20.05,1,,
torchinferno,long_output,330,338.76,21.45,596.10,13,21.81,1,,
torchinferno,long_output,331,332.06,20.90,582.86,13,22.30,1,,
torchinferno,long_output,332,343.28,22.22,609.91,13,21.31,1,,
